Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun)(A);Sampah Terkelola Tahunan (ton/tahun)(B+C)
2021;Kalimantan Selatan;Kota Banjarmasin;184856;182973
2021;Kalimantan Selatan;Kota Banjarbaru;60120;59351
2021;Kalimantan Timur;Kab. Paser;42081;29950
2021;Kalimantan Timur;Kab. Kutai Kartanegara;81244;67674
2021;Kalimantan Timur;Kab. Kutai Timur;77462;70416
2021;Kalimantan Timur;Kab. Penajam Paser Utara;33767;28137
2021;Kalimantan Timur;Kota Balikpapan;181480;179604
2021;Kalimantan Timur;Kota Samarinda;212377;205711
2021;Kalimantan Timur;Kota Bontang;37894;37760
2021;Kalimantan Utara;Kab. Nunukan;15260;10994
2021;Kalimantan Utara;Kab. Tana Tidung;4833;3574
2021;Sulawesi Utara;Kab. Kepulauan Sangihe;20332;12518
2021;Sulawesi Utara;Kab. Minahasa Selatan;34524;15475
2021;Sulawesi Utara;Kab. Minahasa Tenggara;16559;11632
2021;Sulawesi Utara;Kab. Bolaang Mongondow Utara;15168;4052
2021;Sulawesi Utara;Kab. Bolaang Mongondow Selatan;12737;2208
2021;Sulawesi Utara;Kota Manado;124060;107408
2021;Sulawesi Utara;Kota Bitung;57875;42501
2021;Sulawesi Utara;Kota Tomohon;26137;33763
2021;Sulawesi Utara;Kota Kotamobagu;31621;27445
2021;Sulawesi Tengah;Kab. Donggala;44400;4474
2021;Sulawesi Tengah;Kab. Parigi Moutong;82342;6808
2021;Sulawesi Tengah;Kab. Sigi;47008;12055
2021;Sulawesi Tengah;Kab. Banggai Laut;12934;4338
2021;Sulawesi Tengah;Kota Palu;68229;63326
2021;Sulawesi Selatan;Kab. Kepulauan Selayar;20488;9334
2021;Sulawesi Selatan;Kab. Bulukumba;63488;62626
2021;Sulawesi Selatan;Kab. Bantaeng;29446;16609
2021;Sulawesi Selatan;Kab. Jeneponto;58635;23550
2021;Sulawesi Selatan;Kab. Sinjai;39535;38781
2021;Sulawesi Selatan;Kab. Bone;147232;94035
2021;Sulawesi Selatan;Kab. Maros;57951;41330
2021;Sulawesi Selatan;Kab. Pangkajene Kepulauan;50483;26464
2021;Sulawesi Selatan;Kab. Barru;27722;16457
2021;Sulawesi Selatan;Kab. Soppeng;34707;26235
2021;Sulawesi Selatan;Kab. Wajo;55349;879
2021;Sulawesi Selatan;Kab. Sidenreng Rappang;46719;35007
2021;Sulawesi Selatan;Kab. Pinrang;64570;43156
2021;Sulawesi Selatan;Kab. Enrekang;41597;29446
2021;Sulawesi Selatan;Kab. Luwu Timur;43875;31347
2021;Sulawesi Selatan;Kota Makassar;373654;367365
2021;Sulawesi Selatan;Kota Parepare;27832;25086
2021;Sulawesi Selatan;Kota Palopo;33704;23735
2021;Sulawesi Tenggara;Kab. Wakatobi;28903;13764
2021;Sulawesi Tenggara;Kota Kendari;96543;89208
2021;Gorontalo;Kota Gorontalo;51542;47896
2021;Sulawesi Barat;Kab. Mamuju;45787;211705
2021;Sulawesi Barat;Kab. Majene;25463;10419
2021;Sulawesi Barat;Kab. Mamuju Tengah;22864;4015
2021;Maluku;Kab. Maluku Tengah;62166;4416
2021;Maluku;Kab. Buru Selatan;11297;8216
2021;Maluku;Kota Tual;19612;13141
2021;Maluku Utara;Kota Tidore Kepulauan;16835;10841
2021;Papua;Kab. Jayapura;30747;15687
2021;Papua;Kab. Biak Numfor;21324;19416
2021;Papua;Kab. Keerom;8997;3084
2021;Papua;Kota Jayapura;79497;72912
2021;Papua Barat;Kab. Manokwari;58406;40541
2021;Papua Selatan;Kab. Asmat;16298;3157
2021;Papua Tengah;Kab. Nabire;24694;4339
2021;Papua Pegunungan;Kab. Lanny Jaya;29483;317
2021;Papua Barat Daya;Kab. Sorong Selatan;8167;1278
2021;Papua Barat Daya;Kab. Tambrauw;4143;723
2020;Aceh;Kab. Aceh Timur;21023;9370
2020;Aceh;Kab. Aceh Tengah;37067;25878
2020;Aceh;Kab. Simeulue;15897;5743
2020;Aceh;Kab. Aceh Jaya;16877;11544
2020;Aceh;Kab. Bener Meriah;23598;5153
2020;Aceh;Kota Banda Aceh;88800;85121
2020;Aceh;Kota Sabang;9625;6380
2020;Aceh;Kota Langsa;34738;25618
2020;Sumatera Utara;Kab. Langkat;150409;26284
2020;Sumatera Utara;Kab. Deli Serdang;400717;191615
2020;Sumatera Utara;Kab. Asahan;228072;298396
2020;Sumatera Utara;Kab. Dairi;41508;10430
2020;Sumatera Utara;Kab. Humbang Hasundutan;20825;12698
2020;Sumatera Utara;Kab. Samosir;32371;11899
2020;Sumatera Utara;Kota Medan;622207;393370
2020;Sumatera Utara;Kota Sibolga;22388;10686
2020;Sumatera Utara;Kota Tebing Tinggi;44726;41226
2020;Sumatera Barat;Kab. Pesisir Selatan;56034;21555
2020;Sumatera Barat;Kab. Sijunjung;34990;10312
2020;Sumatera Barat;Kab. Tanah Datar;43959;22721
2020;Sumatera Barat;Kab. Agam;72214;18683
2020;Sumatera Barat;Kab. Lima Puluh Kota;56536;6908
2020;Sumatera Barat;Kab. Dharmasraya;35606;25160
2020;Sumatera Barat;Kab. Pasaman Barat;64783;12565
2020;Sumatera Barat;Kota Padang;232260;685914
2020;Sumatera Barat;Kota Solok;18506;18019
2020;Sumatera Barat;Kota Sawahlunto;6853;6619
2020;Sumatera Barat;Kota Padang Panjang;17020;16912
2020;Sumatera Barat;Kota Bukittinggi;45368;42365
2020;Sumatera Barat;Kota Payakumbuh;35679;33704
2020;Riau;Kab. Kampar;128435;47330
2020;Riau;Kab. Indragiri Hilir;109473;28661
2020;Riau;Kab. Pelalawan;55159;29595
2020;Riau;Kab. Siak;69740;300248
2020;Riau;Kab. Kuantan Singingi;48785;1291
2020;Riau;Kota Pekanbaru;400462;291949
2020;Riau;Kota Dumai;58368;1778
2020;Jambi;Kab. Merangin;71333;51190
2020;Jambi;Kab. Sarolangun;40612;8150
2020;Jambi;Kab. Batanghari;44750;330
2020;Jambi;Kab. Muaro Jambi;29793;8974
2020;Jambi;Kab. Tanjung Jabung Barat;60943;25514
2020;Jambi;Kab. Bungo;55610;39995
2020;Jambi;Kab. Tebo;49300;7340
2020;Jambi;Kota Sungai Penuh;17916;11863
2020;Sumatera Selatan;Kab. Ogan Komering Ulu;54330;31226
2020;Sumatera Selatan;Kab. Muara Enim;148346;69089
2020;Sumatera Selatan;Kab. Musi Rawas;103783;28638
2020;Sumatera Selatan;Kab. Musi Banyuasin;94594;40374
2020;Sumatera Selatan;Kab. Banyuasin;207426;58696
2020;Sumatera Selatan;Kab. Ogan Komering Ulu Timur;176276;40612
2020;Sumatera Selatan;Kab. Ogan Ilir;107510;26626
2020;Sumatera Selatan;Kab. Empat Lawang;64711;7484
2020;Sumatera Selatan;Kota Palembang;426391;411380
2020;Sumatera Selatan;Kota Prabumulih;34480;30522
2020;Bengkulu;Kab. Lebong;15727;4336
2020;Bengkulu;Kab. Kepahiang;20499;9608
2020;Bengkulu;Kab. Bengkulu Tengah;21215;7058
2020;Lampung;Kab. Lampung Barat;44806;5317
2020;Lampung;Kab. Way Kanan;70036;48370
2020;Lampung;Kab. Pesawaran;65468;6442
2020;Lampung;Kota Bandar Lampung;276649;268632
2020;Lampung;Kota Metro;37652;19009174
2020;Kepulauan Bangka Belitung;Kab. Bangka;46947;31131
2020;Kepulauan Bangka Belitung;Kab. Belitung;25911;10117
2020;Kepulauan Bangka Belitung;Kab. Bangka Tengah;29160;9865
2020;Kepulauan Bangka Belitung;Kab. Bangka Barat;29059;5526
2020;Kepulauan Bangka Belitung;Kab. Belitung Timur;18422;12099
2020;Kepulauan Bangka Belitung;Kota Pangkal Pinang;55416;47348
2020;Kepulauan Riau;Kab. Bintan;19500;18601
2020;Kepulauan Riau;Kab. Karimun;64678;63047
2020;Kepulauan Riau;Kab. Natuna;11367;4917
2020;Kepulauan Riau;Kab. Lingga;10158;8220
2020;Kepulauan Riau;Kab. Kepulauan Anambas;4703;547
2020;Kepulauan Riau;Kota Batam;305679;292221
2020;Kepulauan Riau;Kota Tanjung Pinang;54013;40807
2020;DKI Jakarta;Kab. Adm. Kep. Seribu;6329;1916
2020;DKI Jakarta;Kota Adm. Jakarta Pusat;308331;302333
2020;DKI Jakarta;Kota Adm. Jakarta Utara;489481;484607
2020;DKI Jakarta;Kota Adm. Jakarta Barat;719768;713838
2020;DKI Jakarta;Kota Adm. Jakarta Selatan;701165;683663
2020;DKI Jakarta;Kota Adm. Jakarta Timur;829738;812521
2020;Jawa Barat;Kab. Bandung;482292;173828
2020;Jawa Barat;Kab. Ciamis;209921;154398
2020;Jawa Barat;Kab. Cirebon;448368;63298
2020;Jawa Barat;Kab. Sumedang;160816;44424
2020;Jawa Barat;Kab. Bekasi;693587;284152
2020;Jawa Barat;Kab. Pangandaran;62523;1880
2020;Jawa Barat;Kota Bogor;245922;234097
2020;Jawa Barat;Kota Sukabumi;65424;63056
2020;Jawa Barat;Kota Bandung;562035;539805
2020;Jawa Barat;Kota Depok;472854;437731
2020;Jawa Barat;Kota Cimahi;99782;96935
2020;Jawa Barat;Kota Tasikmalaya;106689;92263
2020;Jawa Barat;Kota Banjar;30567;28458
2020;Jawa Tengah;Kab. Cilacap;343019;264935
2020;Jawa Tengah;Kab. Purworejo;105147;43894
2020;Jawa Tengah;Kab. Wonosobo;128352;52732
2020;Jawa Tengah;Kab. Magelang;248530;38840
2020;Jawa Tengah;Kab. Boyolali;105095;53678
2020;Jawa Tengah;Kab. Sukoharjo;132864;87679
2020;Jawa Tengah;Kab. Wonogiri;159664;62751
2020;Jawa Tengah;Kab. Sragen;195023;133947
2020;Jawa Tengah;Kab. Blora;135568;59418
2020;Jawa Tengah;Kab. Rembang;86906;1640828
2020;Jawa Tengah;Kab. Pati;239061;103702
2020;Jawa Tengah;Kab. Kudus;160924;99626
2020;Jawa Tengah;Kab. Jepara;254418;47262
2020;Jawa Tengah;Kab. Semarang;194690;63091
2020;Jawa Tengah;Kab. Temanggung;181144;40150
2020;Jawa Tengah;Kab. Kendal;148702;40956
2020;Jawa Tengah;Kab. Batang;87788;87551
2020;Jawa Tengah;Kab. Pemalang;142971;115088
2020;Jawa Tengah;Kab. Tegal;371778;136645
2020;Jawa Tengah;Kab. Brebes;361124;100930
2020;Jawa Tengah;Kota Magelang;32709;25930
2020;Jawa Tengah;Kota Salatiga;41620;7422
2020;Jawa Tengah;Kota Semarang;466011;449651
2020;D.I. Yogyakarta;Kab. Kulon Progo;63714;41242
2020;D.I. Yogyakarta;Kab. Bantul;192022;117393
2020;D.I. Yogyakarta;Kab. Gunungkidul;131671;45998
2020;D.I. Yogyakarta;Kab. Sleman;256210;112982
2020;D.I. Yogyakarta;Kota Yogyakarta;131689;422653
2020;Jawa Timur;Kab. Pacitan;104308;22490
2020;Jawa Timur;Kab. Ponorogo;127432;121846
2020;Jawa Timur;Kab. Trenggalek;109537;76604
2020;Jawa Timur;Kab. Blitar;154238;65635
2020;Jawa Timur;Kab. Lumajang;183033;95262
2020;Jawa Timur;Kab. Bondowoso;104819;4842
2020;Jawa Timur;Kab. Situbondo;94666;85501
2020;Jawa Timur;Kab. Probolinggo;167335;27853
2020;Jawa Timur;Kab. Sidoarjo;396477;291159
2020;Jawa Timur;Kab. Jombang;192437;54063
2020;Jawa Timur;Kab. Nganjuk;154374;143806
2020;Jawa Timur;Kab. Magetan;101945;36153
2020;Jawa Timur;Kab. Ngawi;133779;51366
2020;Jawa Timur;Kab. Tuban;179991;90163
2020;Jawa Timur;Kab. Gresik;119648;60568
2020;Jawa Timur;Kab. Pamekasan;99350;32816
2020;Jawa Timur;Kab. Sumenep;132789;15444
2020;Jawa Timur;Kota Kediri;55091;52140
2020;Jawa Timur;Kota Blitar;27220;25069
2020;Jawa Timur;Kota Malang;247389;241347
2020;Jawa Timur;Kota Probolinggo;34949;30289
2020;Jawa Timur;Kota Pasuruan;48395;45634
2020;Jawa Timur;Kota Mojokerto;23790;21872
2020;Jawa Timur;Kota Madiun;43134;41839
2020;Jawa Timur;Kota Surabaya;811255;782496
2020;Banten;Kab. Lebak;187706;64888
2020;Banten;Kab. Serang;414582;32836
2020;Banten;Kota Cilegon;136458;97032
2020;Banten;Kota Serang;190440;143955
2020;Banten;Kota Tangerang Selatan;390754;269882
2020;Bali;Kab. Jembrana;60115;21217
2020;Bali;Kab. Tabanan;84247;37847
2020;Bali;Kab. Badung;102654;67349
2020;Bali;Kab. Gianyar;160182;133271
2020;Bali;Kab. Bangli;39777;27425
2020;Bali;Kab. Karangasem;91068;47816
2020;Bali;Kab. Buleleng;124792;62979
2020;Bali;Kota Denpasar;242089;132368
2020;Nusa Tenggara Barat;Kab. Lombok Timur;176455;61449
2020;Nusa Tenggara Barat;Kab. Lombok Utara;26765;22163
2020;Nusa Tenggara Timur;Kab. Sumba Tengah;9360;2781
2020;Nusa Tenggara Timur;Kota Kupang;79382;53107
2020;Kalimantan Barat;Kab. Sambas;100182;94194
2020;Kalimantan Barat;Kab. Mempawah;26249;7861
2020;Kalimantan Barat;Kab. Sanggau;87137;13714
2020;Kalimantan Barat;Kab. Ketapang;94504;23217
2020;Kalimantan Barat;Kab. Melawi;34185;13585
2020;Kalimantan Barat;Kota Pontianak;140823;121418
2020;Kalimantan Barat;Kota Singkawang;41332;16808
2020;Kalimantan Tengah;Kab. Kotawaringin Barat;45685;23294
2020;Kalimantan Tengah;Kab. Kotawaringin Timur;94086;20268
2020;Kalimantan Tengah;Kab. Kapuas;75850;8758
2020;Kalimantan Tengah;Kab. Barito Utara;19084;17748
2020;Kalimantan Tengah;Kab. Katingan;16579;5433
2020;Kalimantan Tengah;Kab. Sukamara;9427;6923
2020;Kalimantan Tengah;Kab. Pulang Pisau;23663;1547
2020;Kalimantan Tengah;Kab. Barito Timur;16531;4758
2020;Kalimantan Tengah;Kota Palangkaraya;52571;51250
2020;Kalimantan Selatan;Kab. Barito Kuala;33981;24625
2020;Kalimantan Selatan;Kab. Tapin;28036;20148
2020;Kalimantan Selatan;Kab. Hulu Sungai Selatan;34374;24753
2020;Kalimantan Selatan;Kab. Hulu Sungai Tengah;39841;30064
2020;Kalimantan Selatan;Kab. Hulu Sungai Utara;35281;34927
2020;Kalimantan Selatan;Kab. Tabalong;36123;21922
2020;Kalimantan Selatan;Kab. Balangan;20734;14199
2020;Kalimantan Selatan;Kota Banjarmasin;181041;181025
2020;Kalimantan Selatan;Kota Banjarbaru;53700;53378
2020;Kalimantan Timur;Kab. Paser;39629;29079
2020;Kalimantan Timur;Kab. Kutai Kartanegara;77216;23752
2020;Kalimantan Timur;Kab. Penajam Paser Utara;39890;23644
2020;Kalimantan Timur;Kota Balikpapan;175865;39245
2020;Kalimantan Timur;Kota Samarinda;226579;197844
2020;Kalimantan Timur;Kota Bontang;37770;36586
2020;Kalimantan Utara;Kab. Nunukan;16795;11953
2020;Kalimantan Utara;Kota Tarakan;63924;59703
2020;Sulawesi Utara;Kab. Minahasa;62700;38369
2020;Sulawesi Utara;Kab. Kepulauan Sangihe;25415;14746
2020;Sulawesi Utara;Kab. Minahasa Selatan;34524;12893
2020;Sulawesi Utara;Kab. Minahasa Utara;37905;23137
2020;Sulawesi Utara;Kab. Minahasa Tenggara;16283;14085
2020;Sulawesi Utara;Kab. Kep. Siau Tagulandang Biaro;13107;2920
2020;Sulawesi Utara;Kab. Bolaang Mongondow Selatan;12737;3650
2020;Sulawesi Utara;Kota Bitung;49304;34588
2020;Sulawesi Utara;Kota Tomohon;25700;22415
2020;Sulawesi Utara;Kota Kotamobagu;31554;25671
2020;Sulawesi Tengah;Kab. Banggai;68688;43264
2020;Sulawesi Tengah;Kab. Donggala;44400;4641
2020;Sulawesi Tengah;Kab. Parigi Moutong;80303;5117
2020;Sulawesi Tengah;Kota Palu;72299;64751
2020;Sulawesi Selatan;Kab. Kepulauan Selayar;25015;6298
2020;Sulawesi Selatan;Kab. Bulukumba;62769;12331
2020;Sulawesi Selatan;Kab. Bantaeng;29363;15186
2020;Sulawesi Selatan;Kab. Bone;139715;46299
2020;Sulawesi Selatan;Kab. Maros;56584;35980
2020;Sulawesi Selatan;Kab. Pangkajene Kepulauan;51642;18853
2020;Sulawesi Selatan;Kab. Soppeng;34951;27085
2020;Sulawesi Selatan;Kab. Wajo;58081;368
2020;Sulawesi Selatan;Kab. Sidenreng Rappang;48328;32778
2020;Sulawesi Selatan;Kab. Enrekang;41387;15855
2020;Sulawesi Selatan;Kab. Luwu;54190;15956
2020;Sulawesi Selatan;Kab. Luwu Utara;48120;6959
2020;Sulawesi Selatan;Kab. Luwu Timur;43752;28294
2020;Sulawesi Selatan;Kota Makassar;363801;259483
2020;Sulawesi Selatan;Kota Parepare;27287;23029
2020;Sulawesi Selatan;Kota Palopo;38824;20435
2020;Sulawesi Tenggara;Kab. Kolaka;57370;307637
2020;Sulawesi Tenggara;Kab. Buton;14857;4624
2020;Sulawesi Tenggara;Kab. Kolaka Utara;22088;8822
2020;Gorontalo;Kab. Gorontalo;53506;6711
2020;Gorontalo;Kab. Pohuwato;21533;11388
2020;Sulawesi Barat;Kab. Pasangkayu;26062;5637
2020;Sulawesi Barat;Kab. Mamuju;48179;478883
2020;Sulawesi Barat;Kab. Polewali Mandar;65392;34668
2020;Maluku;Kab. Buru Selatan;11238;9074
2020;Maluku;Kota Ambon;98754;71524
2020;Maluku Utara;Kab. Halmahera Utara;50497;12775
2020;Maluku Utara;Kab. Pulau Morotai;10868;54750
2020;Maluku Utara;Kota Tidore Kepulauan;16753;10763
2020;Papua;Kab. Biak Numfor;21309;20670
2020;Papua;Kab. Keerom;9305;3022
2020;Papua;Kota Jayapura;92442;72609
2020;Papua Barat;Kab. Manokwari;57183;39321
2020;Papua Selatan;Kab. Asmat;16075;2738
2020;Papua Barat Daya;Kab. Sorong Selatan;7930;1135
2020;Papua Barat Daya;Kab. Raja Ampat;12091;579
2019;Aceh;Kab. Aceh Selatan;35013;14667
2019;Aceh;Kab. Aceh Tengah;36854;24725
2019;Aceh;Kab. Simeulue;16044;5157
2019;Aceh;Kab. Gayo Lues;13739;5960
2019;Aceh;Kab. Bener Meriah;23683;667
2019;Aceh;Kota Banda Aceh;87089;81152
2019;Aceh;Kota Sabang;7887;6380
2019;Aceh;Kota Langsa;34523;24823
2019;Sumatera Utara;Kab. Langkat;152099;22259
2019;Sumatera Utara;Kab. Deli Serdang;393402;158309
2019;Sumatera Utara;Kab. Asahan;226474;291911
2019;Sumatera Utara;Kab. Dairi;41348;9855
2019;Sumatera Utara;Kab. Humbang Hasundutan;20639;11356
2019;Sumatera Utara;Kab. Samosir;29938;11572
2019;Sumatera Utara;Kota Medan;621969;312477
2019;Sumatera Utara;Kota Pematang Siantar;83872;71724
2019;Sumatera Utara;Kota Tebing Tinggi;44229;38913
2019;Sumatera Barat;Kab. Pesisir Selatan;50448;18633
2019;Sumatera Barat;Kab. Sijunjung;34435;29552
2019;Sumatera Barat;Kab. Tanah Datar;43849;22102
2019;Sumatera Barat;Kab. Agam;71727;16000
2019;Sumatera Barat;Kab. Pasaman;31595;12649
2019;Sumatera Barat;Kab. Dharmasraya;35161;22613
2019;Sumatera Barat;Kota Padang;233774;272078
2019;Sumatera Barat;Kota Solok;18143;17480
2019;Sumatera Barat;Kota Sawahlunto;6757;5936
2019;Sumatera Barat;Kota Padang Panjang;16868;16814
2019;Sumatera Barat;Kota Bukittinggi;41403;40507
2019;Sumatera Barat;Kota Payakumbuh;35544;33283
2019;Riau;Kab. Kampar;125917;73181
2019;Riau;Kab. Pelalawan;54072;23349
2019;Riau;Kab. Rokan Hilir;182787;84392
2019;Riau;Kab. Siak;67950;43738
2019;Riau;Kota Pekanbaru;378325;378222
2019;Jambi;Kab. Merangin;70140;47575
2019;Jambi;Kab. Sarolangun;44079;7111
2019;Jambi;Kab. Batanghari;44111;8002
2019;Jambi;Kab. Muaro Jambi;29209;3794
2019;Jambi;Kab. Bungo;54520;39282
2019;Jambi;Kota Jambi;154558;4511100
2019;Jambi;Kota Sungai Penuh;18420;11863
2019;Sumatera Selatan;Kab. Ogan Komering Ulu;53566;28270
2019;Sumatera Selatan;Kab. Muara Enim;160623;68771
2019;Sumatera Selatan;Kab. Lahat;110722;20430211
2019;Sumatera Selatan;Kab. Musi Rawas;103522;11571
2019;Sumatera Selatan;Kab. Musi Banyuasin;93240;530768
2019;Sumatera Selatan;Kab. Empat Lawang;63928;6746
2019;Sumatera Selatan;Kota Palembang;424869;408221
2019;Sumatera Selatan;Kota Prabumulih;34097;31432
2019;Bengkulu;Kab. Bengkulu Selatan;23128;11192
2019;Bengkulu;Kab. Bengkulu Utara;65408;15659
2019;Bengkulu;Kab. Lebong;15665;4336
2019;Bengkulu;Kab. Kepahiang;20069;10434
2019;Bengkulu;Kab. Bengkulu Tengah;20898;5546
2019;Lampung;Kab. Lampung Barat;44266;3186
2019;Lampung;Kab. Way Kanan;65902;48782
2019;Lampung;Kab. Pringsewu;57994;24840
2019;Lampung;Kota Bandar Lampung;249468;248238
2019;Lampung;Kota Metro;37417;22981970
2019;Kepulauan Bangka Belitung;Kab. Bangka;46538;295612
2019;Kepulauan Bangka Belitung;Kab. Bangka Selatan;31276;25143
2019;Kepulauan Bangka Belitung;Kab. Bangka Tengah;28705;9406
2019;Kepulauan Bangka Belitung;Kota Pangkal Pinang;52978;42331
2019;Kepulauan Riau;Kab. Bintan;18725;78801
2019;Kepulauan Riau;Kab. Karimun;64006;63414
2019;Kepulauan Riau;Kab. Natuna;11097;4730
2019;Kepulauan Riau;Kab. Lingga;9958;7268
2019;Kepulauan Riau;Kab. Kepulauan Anambas;4646;462
2019;Kepulauan Riau;Kota Batam;486322;482831
2019;Kepulauan Riau;Kota Tanjung Pinang;52388;38249
2019;DKI Jakarta;Kab. Adm. Kep. Seribu;6210;1142
2019;DKI Jakarta;Kota Adm. Jakarta Utara;484561;483702
2019;DKI Jakarta;Kota Adm. Jakarta Selatan;695190;638767
2019;DKI Jakarta;Kota Adm. Jakarta Timur;822585;71962
2019;Jawa Barat;Kab. Sukabumi;372510;226096
2019;Jawa Barat;Kab. Ciamis;207072;112170
2019;Jawa Barat;Kab. Sumedang;159838;41330
2019;Jawa Barat;Kab. Subang;379289;66065
2019;Jawa Barat;Kab. Bekasi;662451;211006
2019;Jawa Barat;Kab. Pangandaran;62019;8861
2019;Jawa Barat;Kota Bogor;240205;222615
2019;Jawa Barat;Kota Sukabumi;64956;55589
2019;Jawa Barat;Kota Depok;553450;103709
2019;Jawa Barat;Kota Cimahi;99039;93222
2019;Jawa Barat;Kota Tasikmalaya;106561;62057
2019;Jawa Tengah;Kab. Cilacap;333228;253224
2019;Jawa Tengah;Kab. Kebumen;148387;118556
2019;Jawa Tengah;Kab. Purworejo;104874;22738
2019;Jawa Tengah;Kab. Wonosobo;115412;47634
2019;Jawa Tengah;Kab. Boyolali;97053;50095
2019;Jawa Tengah;Kab. Klaten;128661;55141
2019;Jawa Tengah;Kab. Sukoharjo;133537;91363
2019;Jawa Tengah;Kab. Wonogiri;159360;61489
2019;Jawa Tengah;Kab. Sragen;194448;117790
2019;Jawa Tengah;Kab. Grobogan;269786;24820
2019;Jawa Tengah;Kab. Rembang;83544;40575
2019;Jawa Tengah;Kab. Pati;182982;81111
2019;Jawa Tengah;Kab. Kudus;159083;96298
2019;Jawa Tengah;Kab. Jepara;251072;40499
2019;Jawa Tengah;Kab. Semarang;192320;76614
2019;Jawa Tengah;Kab. Kendal;147743;26567
2019;Jawa Tengah;Kab. Batang;84160;83061
2019;Jawa Tengah;Kab. Pemalang;142658;88476
2019;Jawa Tengah;Kab. Brebes;330160;20813
2019;Jawa Tengah;Kota Magelang;31169;25813
2019;Jawa Tengah;Kota Semarang;456873;434864
2019;D.I. Yogyakarta;Kab. Kulon Progo;61774;25505
2019;D.I. Yogyakarta;Kab. Bantul;202911;145788
2019;D.I. Yogyakarta;Kab. Gunungkidul;131671;42318
2019;D.I. Yogyakarta;Kab. Sleman;255180;68256
2019;D.I. Yogyakarta;Kota Yogyakarta;132116;129796
2019;Jawa Timur;Kab. Pacitan;103962;20020
2019;Jawa Timur;Kab. Trenggalek;112059;67128
2019;Jawa Timur;Kab. Tulungagung;189622;126095
2019;Jawa Timur;Kab. Blitar;151697;111053
2019;Jawa Timur;Kab. Kediri;184669;38886
2019;Jawa Timur;Kab. Malang;380506;120350
2019;Jawa Timur;Kab. Lumajang;182629;88639
2019;Jawa Timur;Kab. Banyuwangi;446020;103602
2019;Jawa Timur;Kab. Bondowoso;104299;21276
2019;Jawa Timur;Kab. Situbondo;93483;83950
2019;Jawa Timur;Kab. Probolinggo;170134;21037
2019;Jawa Timur;Kab. Pasuruan;420501;76319
2019;Jawa Timur;Kab. Sidoarjo;446734;201222
2019;Jawa Timur;Kab. Nganjuk;153973;78991
2019;Jawa Timur;Kab. Madiun;99671;20930
2019;Jawa Timur;Kab. Ngawi;133379;43111
2019;Jawa Timur;Kab. Bojonegoro;185688;50101
2019;Jawa Timur;Kab. Tuban;179185;94895
2019;Jawa Timur;Kab. Gresik;118459;78853
2019;Jawa Timur;Kab. Sampang;83450;160194
2019;Jawa Timur;Kab. Pamekasan;98305;26704
2019;Jawa Timur;Kab. Sumenep;131474;13830
2019;Jawa Timur;Kota Kediri;53828;50424
2019;Jawa Timur;Kota Blitar;25892;23754
2019;Jawa Timur;Kota Malang;244720;239905
2019;Jawa Timur;Kota Probolinggo;34341;26637
2019;Jawa Timur;Kota Pasuruan;47916;47080
2019;Jawa Timur;Kota Mojokerto;23628;21279
2019;Jawa Timur;Kota Madiun;42622;35776
2019;Jawa Timur;Kota Surabaya;811860;783008
2019;Jawa Timur;Kota Batu;42457;39643
2019;Banten;Kab. Pandeglang;178026;10950
2019;Banten;Kab. Lebak;186504;56353
2019;Banten;Kab. Tangerang;971101;572931
2019;Banten;Kota Tangerang;578038;577995
2019;Banten;Kota Cilegon;135211;95937
2019;Banten;Kota Tangerang Selatan;376412;15224
2019;Bali;Kab. Jembrana;59757;21406
2019;Bali;Kab. Badung;103448;93083
2019;Bali;Kab. Gianyar;158910;130436
2019;Bali;Kab. Bangli;39430;27351
2019;Bali;Kab. Karangasem;76030;54478
2019;Bali;Kab. Buleleng;122338;59977
2019;Bali;Kota Denpasar;237808;137003
2019;Nusa Tenggara Barat;Kab. Lombok Timur;175289;47390
2019;Nusa Tenggara Barat;Kab. Lombok Utara;26322;14199
2019;Kalimantan Barat;Kab. Sambas;99133;23131
2019;Kalimantan Barat;Kab. Mempawah;25650;7855
2019;Kalimantan Barat;Kab. Sanggau;85816;13714
2019;Kalimantan Barat;Kab. Ketapang;93023;19581
2019;Kalimantan Barat;Kab. Kapuas Hulu;48035;6570
2019;Kalimantan Barat;Kab. Bengkayang;37172;5782
2019;Kalimantan Barat;Kota Pontianak;138907;135600
2019;Kalimantan Tengah;Kab. Kotawaringin Barat;44396;20662
2019;Kalimantan Tengah;Kab. Kotawaringin Timur;91971;15128
2019;Kalimantan Tengah;Kab. Kapuas;65040;10013
2019;Kalimantan Tengah;Kab. Barito Utara;19084;17064
2019;Kalimantan Tengah;Kab. Katingan;16129;5550
2019;Kalimantan Tengah;Kab. Sukamara;9394;5662
2019;Kalimantan Tengah;Kab. Pulang Pisau;23199;1547
2019;Kalimantan Tengah;Kab. Barito Timur;18524;168571695
2019;Kalimantan Tengah;Kota Palangkaraya;51189;49901
2019;Kalimantan Selatan;Kab. Tanah Laut;48827;36398
2019;Kalimantan Selatan;Kab. Kotabaru;50328;23981
2019;Kalimantan Selatan;Kab. Barito Kuala;33315;23329
2019;Kalimantan Selatan;Kab. Tapin;27486;19428
2019;Kalimantan Selatan;Kab. Hulu Sungai Selatan;33967;23848
