Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun)(A);Sampah Terkelola Tahunan (ton/tahun)(B+C)
2022;Jawa Tengah;Kab. Purbalingga;186121;43487
2022;Jawa Tengah;Kab. Kebumen;169013;146507
2022;Jawa Tengah;Kab. Purworejo;105694;51910
2022;Jawa Tengah;Kab. Wonosobo;133683;54963
2022;Jawa Tengah;Kab. Boyolali;106781;60486
2022;Jawa Tengah;Kab. Klaten;234703;130599
2022;Jawa Tengah;Kab. Sukoharjo;132101;100827
2022;Jawa Tengah;Kab. Wonogiri;126918;65265
2022;Jawa Tengah;Kab. Karanganyar;137066;37771
2022;Jawa Tengah;Kab. Sragen;215417;151056
2022;Jawa Tengah;Kab. Grobogan;310022;161548
2022;Jawa Tengah;Kab. Blora;139812;139765
2022;Jawa Tengah;Kab. Rembang;92026;28738
2022;Jawa Tengah;Kab. Kudus;163579;106248
2022;Jawa Tengah;Kab. Jepara;150516;81152
2022;Jawa Tengah;Kab. Demak;263666;34651
2022;Jawa Tengah;Kab. Semarang;193422;101019
2022;Jawa Tengah;Kab. Temanggung;146050;86447
2022;Jawa Tengah;Kab. Kendal;149653;60451
2022;Jawa Tengah;Kab. Batang;207055;50577
2022;Jawa Tengah;Kab. Pekalongan;142570;66438
2022;Jawa Tengah;Kab. Pemalang;216695;185018
2022;Jawa Tengah;Kab. Tegal;306466;178471
2022;Jawa Tengah;Kab. Brebes;366938;50964
2022;Jawa Tengah;Kota Magelang;29385;27777
2022;Jawa Tengah;Kota Surakarta;137345;135255
2022;Jawa Tengah;Kota Salatiga;41668;40185
2022;Jawa Tengah;Kota Semarang;431085;427038
2022;Jawa Tengah;Kota Tegal;79366;78481
2022;D.I. Yogyakarta;Kab. Kulon Progo;64731;29293
2022;D.I. Yogyakarta;Kab. Gunungkidul;137872;47766
2022;D.I. Yogyakarta;Kota Yogyakarta;110643;110084
2022;Jawa Timur;Kab. Pacitan;105000;26467
2022;Jawa Timur;Kab. Ponorogo;139553;114917
2022;Jawa Timur;Kab. Trenggalek;111499;75826
2022;Jawa Timur;Kab. Tulungagung;202149;89824
2022;Jawa Timur;Kab. Kediri;240082;62728
2022;Jawa Timur;Kab. Malang;350614;179740
2022;Jawa Timur;Kab. Lumajang;191446;102811
2022;Jawa Timur;Kab. Jember;370362;104025
2022;Jawa Timur;Kab. Banyuwangi;297078;86538
2022;Jawa Timur;Kab. Situbondo;93892;74020
2022;Jawa Timur;Kab. Mojokerto;168323;69315
2022;Jawa Timur;Kab. Jombang;193583;79999
2022;Jawa Timur;Kab. Nganjuk;162108;65412
2022;Jawa Timur;Kab. Magetan;100648;47822
2022;Jawa Timur;Kab. Ngawi;130696;54503
2022;Jawa Timur;Kab. Bojonegoro;137271;47701
2022;Jawa Timur;Kab. Tuban;184439;102819
2022;Jawa Timur;Kab. Gresik;142835;109049
2022;Jawa Timur;Kab. Sampang;169511;16888
2022;Jawa Timur;Kab. Pamekasan;101141;57466
2022;Jawa Timur;Kab. Sumenep;132198;25317
2022;Jawa Timur;Kota Kediri;65184;64052
2022;Jawa Timur;Kota Blitar;27733;27104
2022;Jawa Timur;Kota Malang;279148;273817
2022;Jawa Timur;Kota Probolinggo;35465;28851
2022;Jawa Timur;Kota Pasuruan;53297;52255
2022;Jawa Timur;Kota Mojokerto;24420;24167
2022;Jawa Timur;Kota Madiun;44220;43822
2022;Jawa Timur;Kota Surabaya;651043;646825
2022;Jawa Timur;Kota Batu;49359;48261
2022;Banten;Kab. Lebak;215885;49749
2022;Banten;Kab. Tangerang;841498;510449
2022;Banten;Kab. Serang;414582;30900
2022;Banten;Kota Tangerang;504258;503978
2022;Banten;Kota Cilegon;83169;69239
2022;Banten;Kota Serang;213464;121157
2022;Banten;Kota Tangerang Selatan;355009;353297
2022;Bali;Kab. Jembrana;59473;35313
2022;Bali;Kab. Badung;119475;111510
2022;Bali;Kab. Gianyar;196699;174963
2022;Bali;Kab. Klungkung;37644;26544
2022;Bali;Kab. Bangli;40836;28968
2022;Bali;Kab. Karangasem;113712;75789
2022;Bali;Kab. Buleleng;143284;81156
2022;Bali;Kota Denpasar;316313;303997
2022;Nusa Tenggara Barat;Kab. Lombok Barat;105336;23375
2022;Nusa Tenggara Barat;Kab. Lombok Tengah;153264;46092
2022;Nusa Tenggara Barat;Kab. Lombok Timur;196210;102591
2022;Nusa Tenggara Barat;Kab. Sumbawa;94820;48399
2022;Nusa Tenggara Barat;Kab. Bima;101102;11547
2022;Nusa Tenggara Barat;Kab. Lombok Utara;37446;24793
2022;Nusa Tenggara Barat;Kota Mataram;96437;95242
2022;Nusa Tenggara Barat;Kota Bima;30189;28922
2022;Nusa Tenggara Timur;Kab. Manggarai Barat;30972;7153
2022;Nusa Tenggara Timur;Kota Kupang;83193;63595
2022;Kalimantan Barat;Kab. Sambas;116112;24813
2022;Kalimantan Barat;Kab. Mempawah;30670;9077
2022;Kalimantan Barat;Kab. Sanggau;89842;18291
2022;Kalimantan Barat;Kab. Kapuas Hulu;48664;9066
2022;Kalimantan Barat;Kota Pontianak;146561;142137
2022;Kalimantan Barat;Kota Singkawang;34298;31283
2022;Kalimantan Tengah;Kab. Kapuas;77236;9726
2022;Kalimantan Tengah;Kab. Barito Selatan;24440;3812
2022;Kalimantan Tengah;Kab. Barito Utara;22604;10624
2022;Kalimantan Tengah;Kab. Seruyan;29999;6017
2022;Kalimantan Tengah;Kab. Gunung Mas;37058;6487
2022;Kalimantan Tengah;Kab. Pulang Pisau;24946;1548
2022;Kalimantan Tengah;Kab. Murung Raya;20340;4787
2022;Kalimantan Tengah;Kab. Barito Timur;16798;4364
2022;Kalimantan Tengah;Kota Palangkaraya;55448;54635
2022;Kalimantan Selatan;Kab. Tanah Laut;51807;17793
2022;Kalimantan Selatan;Kab. Kotabaru;66144;18618
2022;Kalimantan Selatan;Kab. Banjar;149097;114636
2022;Kalimantan Selatan;Kab. Barito Kuala;35180;26720
2022;Kalimantan Selatan;Kab. Tapin;29967;21503
2022;Kalimantan Selatan;Kab. Hulu Sungai Selatan;35330;26283
2022;Kalimantan Selatan;Kab. Hulu Sungai Tengah;38070;29429
2022;Kalimantan Selatan;Kab. Tabalong;37508;35180
2022;Kalimantan Selatan;Kab. Tanah Bumbu;60743;56729
2022;Kalimantan Selatan;Kab. Balangan;20576;18808
2022;Kalimantan Selatan;Kota Banjarbaru;67080;67002
2022;Kalimantan Timur;Kab. Paser;43301;30852
2022;Kalimantan Timur;Kab. Kutai Kartanegara;114525;99209
2022;Kalimantan Timur;Kab. Berau;49802;34673
2022;Kalimantan Timur;Kab. Kutai Barat;25639;10483
2022;Kalimantan Timur;Kab. Kutai Timur;77674;45693
2022;Kalimantan Timur;Kab. Penajam Paser Utara;35034;29321
2022;Kalimantan Timur;Kab. Mahakam Ulu;5585;1460
2022;Kalimantan Timur;Kota Balikpapan;187875;186186
2022;Kalimantan Timur;Kota Samarinda;214348;213831
2022;Kalimantan Timur;Kota Bontang;38046;37917
2022;Kalimantan Utara;Kab. Nunukan;15577;11729
2022;Kalimantan Utara;Kab. Tana Tidung;5178;4103
2022;Sulawesi Utara;Kab. Bolaang Mongondow;45712;11266
2022;Sulawesi Utara;Kab. Minahasa;63633;58389
2022;Sulawesi Utara;Kab. Kepulauan Sangihe;20394;12947
2022;Sulawesi Utara;Kab. Minahasa Selatan;34524;15469
2022;Sulawesi Utara;Kab. Minahasa Utara;43114;27892
2022;Sulawesi Utara;Kab. Minahasa Tenggara;16841;9607
2022;Sulawesi Utara;Kab. Bolaang Mongondow Utara;12652;6084
2022;Sulawesi Utara;Kab. Kep. Siau Tagulandang Biaro;10777;3864
2022;Sulawesi Utara;Kab. Bolaang Mongondow Timur;13476;1588
2022;Sulawesi Utara;Kab. Bolaang Mongondow Selatan;10553;1543
2022;Sulawesi Utara;Kota Manado;106241;86255
2022;Sulawesi Utara;Kota Bitung;58055;43664
2022;Sulawesi Utara;Kota Tomohon;18510;15509
2022;Sulawesi Utara;Kota Kotamobagu;31464;26656
2022;Sulawesi Tengah;Kab. Banggai;68767;48417
2022;Sulawesi Tengah;Kab. Donggala;44233;8317
2022;Sulawesi Tengah;Kab. Morowali;30644;4936
2022;Sulawesi Tengah;Kab. Parigi Moutong;82583;7346
2022;Sulawesi Tengah;Kab. Sigi;47008;15029
2022;Sulawesi Tengah;Kab. Banggai Laut;13550;4424
2022;Sulawesi Tengah;Kab. Morowali Utara;22309;3132
2022;Sulawesi Tengah;Kota Palu;74074;69187
2022;Sulawesi Selatan;Kab. Kepulauan Selayar;20144;6412
2022;Sulawesi Selatan;Kab. Bulukumba;65305;61889
2022;Sulawesi Selatan;Kab. Bantaeng;29562;17311
2022;Sulawesi Selatan;Kab. Jeneponto;59204;25902
2022;Sulawesi Selatan;Kab. Sinjai;39320;36275
2022;Sulawesi Selatan;Kab. Bone;148115;96882
2022;Sulawesi Selatan;Kab. Maros;58951;43550
2022;Sulawesi Selatan;Kab. Pangkajene Kepulauan;51531;27888
2022;Sulawesi Selatan;Kab. Soppeng;34394;26678
2022;Sulawesi Selatan;Kab. Wajo;55428;44867
2022;Sulawesi Selatan;Kab. Sidenreng Rappang;47186;35356
2022;Sulawesi Selatan;Kab. Pinrang;65862;44423
2022;Sulawesi Selatan;Kab. Enrekang;41741;21123
2022;Sulawesi Selatan;Kab. Luwu Timur;43875;31376
2022;Sulawesi Selatan;Kab. Toraja Utara;57848;19859
2022;Sulawesi Selatan;Kota Parepare;28389;25936
2022;Sulawesi Selatan;Kota Palopo;34188;25111
2022;Sulawesi Tenggara;Kab. Kolaka;44022;16046
2022;Sulawesi Tenggara;Kab. Wakatobi;29456;16803
2022;Sulawesi Tenggara;Kab. Kolaka Utara;20341;5462
2022;Sulawesi Tenggara;Kab. Buton Selatan;8027;1205
2022;Sulawesi Tenggara;Kota Kendari;98477;91857
2022;Sulawesi Tenggara;Kota Bau Bau;29923;29565
2022;Gorontalo;Kab. Gorontalo;57763;8106
2022;Gorontalo;Kab. Bone Bolango;18199;6159
2022;Gorontalo;Kab. Pohuwato;21563;12991
2022;Gorontalo;Kota Gorontalo;51647;49290
2022;Sulawesi Barat;Kab. Mamuju;51438;240343
2022;Sulawesi Barat;Kab. Majene;25899;12005
2022;Sulawesi Barat;Kab. Mamuju Tengah;20057;4745
2022;Maluku;Kab. Maluku Tengah;62011;4781
2022;Maluku;Kab. Buru Selatan;11355;8440
2022;Maluku Utara;Kab. Halmahera Utara;50497;12750
2022;Maluku Utara;Kota Tidore Kepulauan;16904;12665
2022;Papua;Kab. Jayapura;31360;29515
2022;Papua;Kab. Kepulauan Yapen;16780;15940
2022;Papua;Kab. Biak Numfor;21435;18755
2022;Papua;Kab. Sarmi;6110;2168
2022;Papua;Kab. Waropen;5285;2193
2022;Papua;Kota Jayapura;79528;66651
2022;Papua Barat;Kab. Manokwari;59628;41227
2022;Papua Barat;Kab. Teluk Wondama;6697;2132
2022;Papua Barat;Kab. Kaimana;9290;4609
2022;Papua Selatan;Kab. Merauke;33924;14108
2022;Papua Selatan;Kab. Boven Digoel;9518;2154
2022;Papua Selatan;Kab. Asmat;16624;3464
2022;Papua Tengah;Kab. Mimika;57742;29902
2022;Papua Barat Daya;Kab. Sorong;18163;6523
2021;Aceh;Kab. Aceh Selatan;34527;12811
2021;Aceh;Kab. Gayo Lues;14757;9685
2021;Aceh;Kota Banda Aceh;90766;88800
2021;Aceh;Kota Sabang;6142;5871
2021;Aceh;Kota Langsa;33883;28172
2021;Aceh;Kota Subulussalam;16529;14600
2021;Sumatera Utara;Kab. Tapanuli Tengah;66645;12208
2021;Sumatera Utara;Kab. Tapanuli Utara;46799;25577
2021;Sumatera Utara;Kab. Langkat;189686;32735
2021;Sumatera Utara;Kab. Karo;82782;29217
2021;Sumatera Utara;Kab. Deli Serdang;408130;197896
2021;Sumatera Utara;Kab. Simalungun;189457;122538
2021;Sumatera Utara;Kab. Asahan;170300;24130
2021;Sumatera Utara;Kab. Toba;31171;13808
2021;Sumatera Utara;Kota Medan;645013;393891
2021;Sumatera Utara;Kota Pematang Siantar;85052;81101
2021;Sumatera Utara;Kota Tebing Tinggi;45078;42408
2021;Sumatera Barat;Kab. Pesisir Selatan;55234;22707
2021;Sumatera Barat;Kab. Tanah Datar;46807;24133
2021;Sumatera Barat;Kab. Agam;78413;20545
2021;Sumatera Barat;Kab. Lima Puluh Kota;56295;16951
2021;Sumatera Barat;Kab. Pasaman;44253;14989
2021;Sumatera Barat;Kab. Dharmasraya;37412;33692
2021;Sumatera Barat;Kab. Solok Selatan;26988;5143
2021;Sumatera Barat;Kota Padang;233386;695320
2021;Sumatera Barat;Kota Solok;19663;19592
2021;Sumatera Barat;Kota Sawahlunto;6844;6516
2021;Sumatera Barat;Kota Padang Panjang;17519;16992
2021;Sumatera Barat;Kota Payakumbuh;36063;35915
2021;Riau;Kab. Indragiri Hilir;168125;23414
2021;Riau;Kab. Siak;69740;53942
2021;Riau;Kota Pekanbaru;353134;286223
2021;Riau;Kota Dumai;59030;56927
2021;Jambi;Kab. Merangin;72545;52126
2021;Jambi;Kab. Bungo;56722;40585
2021;Jambi;Kota Jambi;158107;153795
2021;Sumatera Selatan;Kab. Muara Enim;148459;69290
2021;Sumatera Selatan;Kab. Lahat;112362;32566
2021;Sumatera Selatan;Kab. Musi Banyuasin;90842;38545
2021;Sumatera Selatan;Kab. Ogan Komering Ulu Timur;102228;44236
2021;Sumatera Selatan;Kota Palembang;430792;413139
2021;Sumatera Selatan;Kota Prabumulih;35427;31522
2021;Bengkulu;Kab. Seluma;38966;1551
2021;Lampung;Kab. Lampung Tengah;172708;29456
2021;Lampung;Kab. Tanggamus;89783;11013
2021;Lampung;Kab. Way Kanan;70036;4874
2021;Lampung;Kab. Pringsewu;59396;11048
2021;Lampung;Kota Bandar Lampung;281129;208543
2021;Lampung;Kota Metro;37913;5200245
2021;Kepulauan Bangka Belitung;Kab. Bangka;47635;31676
2021;Kepulauan Bangka Belitung;Kab. Belitung;26533;11700
2021;Kepulauan Bangka Belitung;Kab. Bangka Selatan;29247;18314
2021;Kepulauan Bangka Belitung;Kab. Bangka Tengah;29627;10626
2021;Kepulauan Bangka Belitung;Kota Pangkal Pinang;58399;56169
2021;Kepulauan Riau;Kab. Bintan;20326;19847
2021;Kepulauan Riau;Kab. Karimun;66290;40221
2021;Kepulauan Riau;Kota Tanjung Pinang;55366;44115
2021;DKI Jakarta;Kab. Adm. Kep. Seribu;6429;1890
2021;DKI Jakarta;Kota Adm. Jakarta Pusat;309298;308404
2021;DKI Jakarta;Kota Adm. Jakarta Utara;494455;487450
2021;DKI Jakarta;Kota Adm. Jakarta Barat;729093;729913
2021;DKI Jakarta;Kota Adm. Jakarta Selatan;707201;704508
2021;DKI Jakarta;Kota Adm. Jakarta Timur;836961;203506
2021;Jawa Barat;Kab. Bandung;462939;288876
2021;Jawa Barat;Kab. Garut;408822;111401
2021;Jawa Barat;Kab. Ciamis;208818;159136
2021;Jawa Barat;Kab. Cirebon;451550;74286
2021;Jawa Barat;Kab. Sumedang;161463;49775
2021;Jawa Barat;Kab. Indramayu;402455;243514
2021;Jawa Barat;Kota Bogor;245922;236190
2021;Jawa Barat;Kota Sukabumi;65796;64682
2021;Jawa Barat;Kota Bandung;581280;519065
2021;Jawa Barat;Kota Cirebon;74632;60490
2021;Jawa Barat;Kota Bekasi;867237;441931
2021;Jawa Barat;Kota Depok;479661;463138
2021;Jawa Barat;Kota Cimahi;100289;94270
2021;Jawa Tengah;Kab. Cilacap;344409;270544
2021;Jawa Tengah;Kab. Banyumas;195358;191495
2021;Jawa Tengah;Kab. Purbalingga;184585;41706
2021;Jawa Tengah;Kab. Purworejo;105420;45987
2021;Jawa Tengah;Kab. Wonosobo;132496;64948
2021;Jawa Tengah;Kab. Magelang;248800;42613
2021;Jawa Tengah;Kab. Boyolali;106159;58039
2021;Jawa Tengah;Kab. Klaten;215459;91151
2021;Jawa Tengah;Kab. Sukoharjo;131201;86280
2021;Jawa Tengah;Kab. Wonogiri;160370;64175
2021;Jawa Tengah;Kab. Karanganyar;132072;31698
2021;Jawa Tengah;Kab. Sragen;213952;152293
2021;Jawa Tengah;Kab. Blora;82802;81384
2021;Jawa Tengah;Kab. Rembang;89666;27916
2021;Jawa Tengah;Kab. Pati;241664;104442
2021;Jawa Tengah;Kab. Jepara;146028;75595
2021;Jawa Tengah;Kab. Demak;263666;129699
