Tahun;Provinsi;Kabupaten/Kota;Sisa Makanan (%);Kayu-Ranting (%);Kertas-Karton (%);Plastik(%);Logam(%);Kain(%);Karet- Kulit (%);Kaca(%);Lainnya(%)
2022;Sumatera Selatan;Kab. Muara Enim;96297;12735;11647;27112;1799;2099;568;489;5066
2022;Sumatera Selatan;Kab. Lahat;59044;9939;1968;13777;1712;5412;256;886;5412
2022;Sumatera Selatan;Kab. Musi Rawas;0;0;0;0;0;0;0;0;0
2022;Sumatera Selatan;Kab. Musi Banyuasin;0;0;0;0;0;0;0;0;0
2022;Sumatera Selatan;Kab. Banyuasin;82699;18018;33798;28052;2070;3316;4204;2957;36121
2022;Sumatera Selatan;Kab. Ogan Komering Ulu Timur;12358;9268;22656;27805;3089;5149;3089;2060;17507
2022;Sumatera Selatan;Kab. Penukal Abab Lematang Ilir;22502;2090;3836;6418;1698;205;56;157;355
2022;Sumatera Selatan;Kota Palembang;233102;24190;61574;74769;6597;13194;17593;4398;4398
2022;Sumatera Selatan;Kota Prabumulih;18160;3520;2162;9554;661;647;216;647;352
2022;Bengkulu;Kab. Bengkulu Utara;21870;25953;5121;4360;3530;554;2007;1730;4083
2022;Bengkulu;Kab. Seluma;22666;2689;3458;3458;3842;384;384;384;1153
2022;Bengkulu;Kab. Lebong;18955;2520;2517;3782;59;262;471;21;823
2022;Lampung;Kab. Lampung Tengah;66328;1618;3235;38826;1618;30737;12942;4853;1618
2022;Lampung;Kab. Tanggamus;41370;32522;17642;28025;587;867;187;2295;9822
2022;Lampung;Kab. Way Kanan;42753;13316;2803;5607;2803;701;1402;701;0
2022;Lampung;Kab. Pringsewu;29698;8909;2970;11879;594;148;148;148;4900
2022;Lampung;Kab. Tulang Bawang Barat;0;0;0;0;0;0;0;0;0
2022;Lampung;Kota Bandar Lampung;115971;37030;33586;49948;8899;7176;5167;6602;22678
2022;Lampung;Kota Metro;21530;2379;3584;9177;214;477;103;336;328
2022;Kepulauan Bangka Belitung;Kab. Bangka;19452;6814;5892;8284;1645;1313;967;1128;3319
2022;Kepulauan Bangka Belitung;Kab. Belitung;269;7522;537;16925;3;269;682;645;13
2022;Kepulauan Bangka Belitung;Kab. Bangka Tengah;12596;2555;1142;4299;1172;1473;0;1653;5171
2022;Kepulauan Bangka Belitung;Kab. Belitung Timur;10594;0;929;3159;372;372;372;186;2602
2022;Kepulauan Riau;Kab. Bintan;8368;1184;4898;3347;204;306;653;510;939
2022;Kepulauan Riau;Kab. Karimun;15642;12922;16322;16662;2720;1700;1020;816;204
2022;Kepulauan Riau;Kab. Natuna;0;0;0;0;0;0;0;0;0
2022;Kepulauan Riau;Kab. Lingga;4275;1411;1899;1058;187;924;405;197;21
2022;Kepulauan Riau;Kab. Kepulauan Anambas;0;0;0;0;0;0;0;0;0
2022;Kepulauan Riau;Kota Batam;0;0;0;0;0;0;0;0;0
2022;Kepulauan Riau;Kota Tanjung Pinang;0;0;0;0;0;0;0;0;0
2022;DKI Jakarta;Kab. Adm. Kep. Seribu;1665;2063;795;1253;83;48;29;133;462
2022;DKI Jakarta;Kota Adm. Jakarta Pusat;0;0;0;0;0;0;0;0;0
2022;DKI Jakarta;Kota Adm. Jakarta Utara;0;0;0;0;0;0;0;0;0
2022;DKI Jakarta;Kota Adm. Jakarta Barat;0;0;0;0;0;0;0;0;0
2022;DKI Jakarta;Kota Adm. Jakarta Selatan;0;0;0;0;0;0;0;0;0
2022;DKI Jakarta;Kota Adm. Jakarta Timur;0;0;0;0;0;0;0;0;0
2022;Jawa Barat;Kab. Bandung;0;0;0;0;0;0;0;0;0
2022;Jawa Barat;Kab. Garut;240740;0;25576;83224;4060;10555;0;13803;28012
2022;Jawa Barat;Kab. Ciamis;79708;839;33561;41952;20976;8390;2098;21395;839
2022;Jawa Barat;Kab. Kuningan;87513;37193;21878;35005;8751;6563;4376;4376;13127
2022;Jawa Barat;Kab. Sumedang;32318;24239;8080;64637;4848;4848;3232;3232;16159
