Tahun;Limbah
2000;64.832
2001;67.602
2002;70.063
2003;73.061
2004;75.225
2005;77.216
2006;82.578
2007;83.933
2008;85.023
2009;89.326
2010;87.670
2011;91.852
2012;95.530
2013;100.514
2014;102.834
2015;106.061
2016;112.352
2017;120.191
2018;127.077
2019;134.119
